mobile_names,title,body,Sentiment
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor",Don't buy this phone 😞📱,"  Writing Review after 1 month use:Over all mobile is quite good in this price range but camera quality is very poor.I would suggest don't buy this phone, go with Redmi 9 Note.Poor camera quality.Bettery life is very good.MIUI 12 (Android 10) is very good. Smooth performance, don't hang with normal usage.Screen quality is good.Finger sensor is very quick.Amazon's 7 day replacement policy is very poor. If your phone has really any defact then only it will get replaced with same model. You can't return & buy another better model.",Neutral
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor",Only for children and online class,  At this price range if you want to buy a mobile for your online class and for your children then I will recommend this product. If you want to buy this mobile for other purposes then I will recommend to don't buy it.And don't go to the youtube review . Really it too different after I buy I knew very well.So it is your choice what you di.,Neutral
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor",Good phone for beginners,"  I bought it for my mother, and she is learning to use it. 4GB/64GB at this price is really good. Touch is very responsive and quick. Screen quality is little dull and sound output is low compared to other Redmi phones. Redmi needs to work on these for budget phones. Camera is average as it is not camera centered phone. Network reception and battery power is good, last for 1.5 days with normal usage. Overall good phone for beginners and elderly people to start with",Positive
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor",Software issue..not working properly,"  I don't like the phone because it is not working in manner..It is self rebooting continually in every 10Seconds.Please mark this issue and start rectifying in further device production...Because your service centres are not being operated in service manner..Actually they just manipulate the all customer instead of resolving the issues..#Mi service centre , aggarwal plaza, mangalam palace, M2K sector-3 , Rohini , Delhi .",Extremely Negative
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor",Camera bad Quality,  Very bad experience in that mobile I purchase that mobile because the camera clearity is not good very poor quality,Extremely Negative
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor",v,  Camera is good & the battery backup is strong & at this cost that is amazing phone,Extremely Positive
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor",Redmi 9 review.,"  Fast Fingerprint reader, large and clear screen, huge battery, overall well built. I choose this for my girlfriend, she doesn't play heavy games, for that matter she doesn't play any games on smartphons, so the Helio G35 with 4gb ram and 64gb storage is more then enough for her Facebook insta, and the 6.57inch HD display is also great for her nonstop Netflix and other media consumptions. She actually needed a phone with big screen and finger print security. Plus good battery life and no lags. So redmi 9 was a great gift for her. I myself use Realme x2pro because I'm a heavy user so that super amoled fhd+ 90hz display is a sureshot nessesity for me and a phone with the Snapdragon 855+ processer was what I was looking for under 35k.  First I thought to buy her some similar phone but than I thought why? She don't need that much powerful phone, so I gave her exactly what she needed. Huge screen, huge battery, good camera decent processer, 4gb ram. For her multitasking and 64gb storage for all her photos songs and videos and yea it has option for expanding the memory too which my phone doesn't have so I have to stick to the 128gb only.",Extremely Positive
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor",Overall  Phone performance is very very Poor,"  Dear teams, This is to inform you that I have purchased Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)| 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core  as per the our friend request, but this phone camera is very very poor quality front and back also, and main important when we can attend the meeting on Zoom or webx after 5 minutes showing on screen  CPU is too high uses please close the APP.. our main motive purchase this phone for online class for Daughter.. but over all very very poor performance. we will definitely returns the product but after purchase i was sick, so then 10 day over other wise we will never keep this phone. now we are helpless for returns the product..ThanksShashikant",Extremely Negative
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor",Value for money,  I bet a Redmi series of phone doesn't need reviews. It's always the best for budget. Only pros is lagging after a while due to more bug fix updates and usage of more apps. Otherwise Redmi rockzzz,Extremely Positive
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor",Very poor battery,"  Sir,  I ordered this on 5/10/2020. Received on 9 th october. Yiu were mentikned 5000mah bateert but it was taking to much if time to charging abd not diwnload the video with in 1/2 an hour. Photo were not quality very poor photos.I put on charger yesterday night 9 pm with 49%. Today morning at 7 pm it wad completed 71%.",Neutral
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor",Best smartphone experience at most affordable price,  Very good features for a budget phone. Acceptable performance and for its huge battery surprisingly is light weight. Full day usage sees only 50% of battery left. Screen resolution is so smooth. Highly recommended.,Positive
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor",Budget wise better display and battery but poor camera,  Display better for this price but if you can spend a 1000 rupees more go for Redmi 9 Prime which has better FHD display and good processor than this.  Function is good especially for online classes and also the size of display is good for online classes. Games mild okay.  Camera is really bad in even very light conditions.  Good only in bright places and close-up shots. Overall 3.5 out of 5.,Positive
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor",Best buy & budget phone.,  Genuine product.Loved this phone... actually bought for my mom on her birthday she loved it.. 💙Made in India and has no ban apps pre-installed that's impressive.Overall worth buying. Totally budget phone with good configuration.Ordered on last night got the delivery early morning 8am that was so fast very impressive.,Extremely Positive
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor",The camera is not that good. The alarm function is not also good alarm is not giving proper sound,  The overall performance of the phone is very good but the camera is not very much when compared to other phones pixel rate is I don't know it's not good also. the alarm option alarm  it is not at all making any sound. When you set an alarm it is very hard to hear the alarm sound,Extremely Positive
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",#samsunghitsbullseye,  Thank you samsung and Amazon for timely rakshabandhan delivery.Now for readers this is a review unbiased and written after testing and continuous usage :-Pro's1.Screen ppi is great as entry level device✌2.Battery backup is awesome thanks to samsungs R&D even with .7mamp charger.👀3.Android go version 10 is cute without craps4.Reading pdfs is easy and comfort for eyes atleast samsung has guts to say the truth.5.No lag till now because i dont need gaming other than that all regular even without go apps are nicely running.6.fingerprint and face lock i dont need so good they are not provided.7.Call quality is okay.Speaker is normal.8.For music lovers dowload any music app with equilizer will be fine.9.16gb/32gb and sd card is okay.10.Auto smart memory cleaner(use smart manager in settings once a day) for smooth RAM functioning and ROM cleaning🤗11. Supports OTG as well.Cons1. Camera below average still expected but samsung should work more on this front if they wanna beat chinese phones.2.Not for gamers and thats expected buy a 4gb Ram 🤔 based phone why reading me?😉3.finger print and face lock missing I Can manage but most indians can't.4.Battery takes 3.15 hours to charge to work for 12 hours of calling and surfing and thats not bad at all but can be issue for chinese phone lovers who have habit of charging again and again to play pubg.Overall out of 5.Camera-2  Gui-4  Screen ppi-5  speed-4  android-4Don't buy a phone only because of specifications must see integration and longevity overall a nice secondary option and primary for featured phone switchers.,Positive
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Best smartphone at ₹5500,  Very smooth UI latest M series .Battery is good. 3000mahIt has dark mode.Apps run smoothly.Camera is average.Best for secondary phone.Apps are of GO versionWiFi calling feature.,Extremely Positive
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",sell more this product,  I free of cost taken this phone for I show my friends in WhatsApp & facebook this phone a budget phone and full specification and more sell for samsung smartphones.,Extremely Positive
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Don't buy this phone,"  Its not working. Pls don't buy this phone. Listen carefully, Only on August 14th 2020 I bought this, but today 23.08.2020 its not working. I couldn't even switch this mobile on. Samsung Galaxy M01 mobile. Mobile is not worth. As today I came to amazon for return or replacement this cheater has closed the return window by yesterday. How cunning they are ? not even ten days its been since I have bought. This cheaters have closed it. Its not working now.  Even if I call toll free numbers no one responses.",Extremely Negative
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Very good smart phone,"  After using 4/5 days suddenly without notice, the phone shutdown automatically and I couldn't restart it. So contact with amazon for replacing it and get very quick response from their end and they book a time slot to verify it by a technician. But after few hours later I found in start up guide send by Samsung,  how to restart when it stops working or hanged( by pressing power and volume key simultaneously for seven seconds or more). The fault is from the end of Samsung company I suppose, because they should mention the process on the front page with bold letter. Most of the reviews which get 1 star facing the same problems like of mine.  After using one month I want to add some extra points which impressed me.1. Sound quality and graphics are very good.2. Smooth touch sensitivity3. Ringtones are much louder.4.Two volte nano SIM s work fine together.5.Battery backup is good. Charging time is not so lengthy.6.Any SIM can be switched off manually, that impressed me.7. 2GB ram and 32 GB storage is better option for budget friendly people.8. I faced hanging problem for one day only till now , which can be easily solved by pressing volume down key and power key simultaneously for 7 seconds or more.8. Lastly this mobile is Made in India which I like the most.  So any one can go for it. Amazon agents are really helpful which I experienced.",Positive
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Go for any phone but not this if u don't want to regret wasting ur money,  I am writing this review after the usage of 15 days. It is one of the worst phones Samsung has made with multiple issues. Me and my friend both purchased the same phone for our aunts and are facing the same issues. The main issue I am facing is that the phone switched off 2 days back and since then I am trying to switch it on but its leading me nowhere. Neither it is charging. Phone heats up while charging as well as in normal usage conditions. While charging the phone heats up to an extent that one may feel that it could blast. My friend also faced the phone off issue but it was resolved automatically after 2 days when he connected a fast carger to the phone. He is too facing the heating issue. His phone still switches off on its own again and again now and then... All we both are able to do is to regret on wastage of our money.,Extremely Negative
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Don't expect much.....,"  Not bad....can suggest this mbl for normal users.... charging speed is very much disappointed , taking lot of time to charge up ....basic charger type not even USB cable....this suits for parents only ....not for youngsters, gamers etc.",Neutral
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Horrible return process of Amazon,"  The bad part of this mobile was that it lasted only half day. Next morning it did not work even after charging and trying everything possible, but what's WORST IS AMAZON RETURN PROCESS. Highly disappointed with Amazon process it took me approx 4 days and 2 hours of phone calls to get the defective product returned.",Extremely Negative
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",5 Star Phone In this Price of 6499 .,"  I have recieved this phone on 14th of August 2020 and today is 24th of August 2020.So After 10 Days i am reviewing this phone because i have seen many negative reviews on amazon review portal so now my true experience is about this phone following.1:- Processor Media tek Quad core Is best because quad core take less power from battry than the octa core processor. and i purchased this phone for my mom so quad core porcessor is sufficient to my mom.2:- Battry life is good because of Quad Core Processor.3:- Ram is 2Gb that is also sufficient4:- Display as always awesome as samsung provide.5:- Mike and Speaker's quality is too good as always samsung provide.6:- Many People said in the review that the mobile is automatically swiched off and on automatically. yes i have seen this my own only one time. but its not the problem. every new phone have done this one time because of system works smoothly. and after one time switch off on things happen then never repeated till my 10 days of use this phone. so you people who is taking switch off on problem very seriously ,you should not. this is one time process when phone is new sometimes phone may swich off and on automatically. so dont panik at all for this.7:- most of the people want to replace the phone because of one time switch off on problem then i have to say one thing that your first phone is the only phone who is brand new and the replaced phone never be a new phone at all . so never replace your new phone. this is my own experience.8:- I am fully satisfied from this phone in this price of 6499.9:-This is all the reason that is why i am giving 5 star this phone.Thank U Samsung.",Extremely Positive
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB)-A Cute Phone with Latest Android 10 and Crisp Display","  Thanks Amazon for delivering the product as mentioned in the product description. It was well packed and delivered.By the way, A Special Thanks to SAMSUNG for stepping up to INDIA's needs and introducing a new Line of Phones for taking on the Chinese Incursions in Indian Mobile Phone Market.We ordered ""Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB Storage)"" and thrown away the chinese phone Salomi as it had 100 other Apps Pre-Installed without our information and heating phone and draining battery. Had a tough times using that 'Salomi' phone. Now with a GOOD / BETTER Phone from GOOD Company Samsung, happy to own this ""Little Cute Phone"".Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB Storage) -- is a small enough to keep in pockets and has all the Latest Android 10 OS with a Good Display.  -- All latest version of Apps in a lite mode which means what we need only will be loaded and given instead of ""loading all forever"" and wasting our Precious Data.-- A good Camera with Samsung Reliability is known for its Crisp Camera and Displays.What else needed in a phone. Thanks SAMSUNG for bringing a new Affordable Range with Latest Android 10 OS.Way to go SAMSUNG. Surely we INDIANS will support SAMSUNG and make it to No.1 Company by replacing the Chinese Mobile Companies in INDIA.",Extremely Positive
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",#samsunghitsbullseye,  Thank you samsung and Amazon for timely rakshabandhan delivery.Now for readers this is a review unbiased and written after testing and continuous usage :-Pro's1.Screen ppi is great as entry level device✌2.Battery backup is awesome thanks to samsungs R&D even with .7mamp charger.👀3.Android go version 10 is cute without craps4.Reading pdfs is easy and comfort for eyes atleast samsung has guts to say the truth.5.No lag till now because i dont need gaming other than that all regular even without go apps are nicely running.6.fingerprint and face lock i dont need so good they are not provided.7.Call quality is okay.Speaker is normal.8.For music lovers dowload any music app with equilizer will be fine.9.16gb/32gb and sd card is okay.10.Auto smart memory cleaner(use smart manager in settings once a day) for smooth RAM functioning and ROM cleaning🤗11. Supports OTG as well.Cons1. Camera below average still expected but samsung should work more on this front if they wanna beat chinese phones.2.Not for gamers and thats expected buy a 4gb Ram 🤔 based phone why reading me?😉3.finger print and face lock missing I Can manage but most indians can't.4.Battery takes 3.15 hours to charge to work for 12 hours of calling and surfing and thats not bad at all but can be issue for chinese phone lovers who have habit of charging again and again to play pubg.Overall out of 5.Camera-2  Gui-4  Screen ppi-5  speed-4  android-4Don't buy a phone only because of specifications must see integration and longevity overall a nice secondary option and primary for featured phone switchers.,Positive
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Best smartphone at ₹5500,  Very smooth UI latest M series .Battery is good. 3000mahIt has dark mode.Apps run smoothly.Camera is average.Best for secondary phone.Apps are of GO versionWiFi calling feature.,Extremely Positive
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",sell more this product,  I free of cost taken this phone for I show my friends in WhatsApp & facebook this phone a budget phone and full specification and more sell for samsung smartphones.,Extremely Positive
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Don't buy this phone,"  Its not working. Pls don't buy this phone. Listen carefully, Only on August 14th 2020 I bought this, but today 23.08.2020 its not working. I couldn't even switch this mobile on. Samsung Galaxy M01 mobile. Mobile is not worth. As today I came to amazon for return or replacement this cheater has closed the return window by yesterday. How cunning they are ? not even ten days its been since I have bought. This cheaters have closed it. Its not working now.  Even if I call toll free numbers no one responses.",Extremely Negative
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Very good smart phone,"  After using 4/5 days suddenly without notice, the phone shutdown automatically and I couldn't restart it. So contact with amazon for replacing it and get very quick response from their end and they book a time slot to verify it by a technician. But after few hours later I found in start up guide send by Samsung,  how to restart when it stops working or hanged( by pressing power and volume key simultaneously for seven seconds or more). The fault is from the end of Samsung company I suppose, because they should mention the process on the front page with bold letter. Most of the reviews which get 1 star facing the same problems like of mine.  After using one month I want to add some extra points which impressed me.1. Sound quality and graphics are very good.2. Smooth touch sensitivity3. Ringtones are much louder.4.Two volte nano SIM s work fine together.5.Battery backup is good. Charging time is not so lengthy.6.Any SIM can be switched off manually, that impressed me.7. 2GB ram and 32 GB storage is better option for budget friendly people.8. I faced hanging problem for one day only till now , which can be easily solved by pressing volume down key and power key simultaneously for 7 seconds or more.8. Lastly this mobile is Made in India which I like the most.  So any one can go for it. Amazon agents are really helpful which I experienced.",Positive
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Go for any phone but not this if u don't want to regret wasting ur money,  I am writing this review after the usage of 15 days. It is one of the worst phones Samsung has made with multiple issues. Me and my friend both purchased the same phone for our aunts and are facing the same issues. The main issue I am facing is that the phone switched off 2 days back and since then I am trying to switch it on but its leading me nowhere. Neither it is charging. Phone heats up while charging as well as in normal usage conditions. While charging the phone heats up to an extent that one may feel that it could blast. My friend also faced the phone off issue but it was resolved automatically after 2 days when he connected a fast carger to the phone. He is too facing the heating issue. His phone still switches off on its own again and again now and then... All we both are able to do is to regret on wastage of our money.,Extremely Negative
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Don't expect much.....,"  Not bad....can suggest this mbl for normal users.... charging speed is very much disappointed , taking lot of time to charge up ....basic charger type not even USB cable....this suits for parents only ....not for youngsters, gamers etc.",Neutral
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Horrible return process of Amazon,"  The bad part of this mobile was that it lasted only half day. Next morning it did not work even after charging and trying everything possible, but what's WORST IS AMAZON RETURN PROCESS. Highly disappointed with Amazon process it took me approx 4 days and 2 hours of phone calls to get the defective product returned.",Extremely Negative
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",5 Star Phone In this Price of 6499 .,"  I have recieved this phone on 14th of August 2020 and today is 24th of August 2020.So After 10 Days i am reviewing this phone because i have seen many negative reviews on amazon review portal so now my true experience is about this phone following.1:- Processor Media tek Quad core Is best because quad core take less power from battry than the octa core processor. and i purchased this phone for my mom so quad core porcessor is sufficient to my mom.2:- Battry life is good because of Quad Core Processor.3:- Ram is 2Gb that is also sufficient4:- Display as always awesome as samsung provide.5:- Mike and Speaker's quality is too good as always samsung provide.6:- Many People said in the review that the mobile is automatically swiched off and on automatically. yes i have seen this my own only one time. but its not the problem. every new phone have done this one time because of system works smoothly. and after one time switch off on things happen then never repeated till my 10 days of use this phone. so you people who is taking switch off on problem very seriously ,you should not. this is one time process when phone is new sometimes phone may swich off and on automatically. so dont panik at all for this.7:- most of the people want to replace the phone because of one time switch off on problem then i have to say one thing that your first phone is the only phone who is brand new and the replaced phone never be a new phone at all . so never replace your new phone. this is my own experience.8:- I am fully satisfied from this phone in this price of 6499.9:-This is all the reason that is why i am giving 5 star this phone.Thank U Samsung.",Extremely Positive
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB)-A Cute Phone with Latest Android 10 and Crisp Display","  Thanks Amazon for delivering the product as mentioned in the product description. It was well packed and delivered.By the way, A Special Thanks to SAMSUNG for stepping up to INDIA's needs and introducing a new Line of Phones for taking on the Chinese Incursions in Indian Mobile Phone Market.We ordered ""Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB Storage)"" and thrown away the chinese phone Salomi as it had 100 other Apps Pre-Installed without our information and heating phone and draining battery. Had a tough times using that 'Salomi' phone. Now with a GOOD / BETTER Phone from GOOD Company Samsung, happy to own this ""Little Cute Phone"".Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB Storage) -- is a small enough to keep in pockets and has all the Latest Android 10 OS with a Good Display.  -- All latest version of Apps in a lite mode which means what we need only will be loaded and given instead of ""loading all forever"" and wasting our Precious Data.-- A good Camera with Samsung Reliability is known for its Crisp Camera and Displays.What else needed in a phone. Thanks SAMSUNG for bringing a new Affordable Range with Latest Android 10 OS.Way to go SAMSUNG. Surely we INDIANS will support SAMSUNG and make it to No.1 Company by replacing the Chinese Mobile Companies in INDIA.",Extremely Positive
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Want to Return and Refund. It's already under 7 days. Resolve asap,  Poor Quality. Phone is not functional after 2 days of use. I bought it as a spare phone and didn't use much or neither downloaded any big apps. Phone is not getting on. It has happened under 7 days of delivery and I made a return on Amazon but it's not showing any confirmation or clarity. Waste of money.,Extremely Negative
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Samsung M01 Core running Android 10 isn't half as good as Samsung On5 running Android 6.,"  Update 16 Oct 20Samsung service is trying to push manufacturing defects as my fault. They are playing with small users. Please be careful buying any Samsung product as they are operating like a fly-by-night company.I've already spent Rs. 3,000 for a Rs. 6,000 phone without a working phone for the last 1 month.Update on 29 Sep 20.Reducing status to 1 star.The phone is increasingly giving problems.a) The screen responsiveness is getting worse.b)  The SD card is always giving error.c) Taking lots of time to load Apps.-----------------------------------------------------------------------------------------I exchanged my Samsung On5 for Samsung M01 Core mainly because of the lack of internal memory. Good sturdy experience of On5 let me to buy this phone. I have no complaints about the hardware though many of the software have regressed from On5. Let me write them down:1. Samsung On5 running on Android 6 was more stable than current Android 10. It has rebooted atleast twice on it's own.2. Camera has no panorama and other mode which was there in On5.3. Chrome hanged twice during this period.4. SD card stopped reading once. Had to push it back again to work. Never happened in On5.5. Do Not Disturb can't be customized. Samsung On5 had it.6. Unread SMS not highlighted.Go version shouldn't mean regression. I'll be happy to discuss with the architects who would want genuine op",Extremely Negative
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Worst product don't buy,  Samsung is loting money by giving worst product I am using this phone after one month it started and stop working saying overheating if I watch movie for half an hour of video call for half an hour,Extremely Negative
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Good if purchase as exchange.,"  #Very poor camera.#Battery ok but slow charging.#I got this in exchange for 3.8k ,  So , I am satisfied.# M10 was far far better.#gaming ok#worst part is camera.dont expect any nice  pics.#small screen so easy to handle.#overall 3.9star I'll give,coz you own samsung at such cost.# may be bigger M01 is better.",Neutral
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Not recommended to buy Samsung M01 Core,"  Major issue with this phone is slow charging and quick battery draining. Look of handset is sleek and smart but charer is Normal(Non-USB). To connect with other devices like laptop, PC, you will need to purchase extra USB cable. Backside of phone get heated if using for long time like an hour or more. I was recording video on 14.08.2020 and in 15-20 minutes, phone get overheated and I stopped video recording.",Negative
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Waste of money,"  I wud have given no star but unfortunately there's no such option. The mobile stops reading the sim card often on the second day of use. When tried to replace the item quoting defective product, they ask me to install an app to solve the problem and the app itself doesn't work. IT SUCKS. My money got wasted.",Extremely Negative
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Not Recommended. Did not expect this from Samsung.,"  Samsung didn't meet my expectations this time. I had been a big fan of Samsung products and this product of theirs disappointed me. Battery gets hot while watching videos, playing games and when connected to the net. Battery drains fast. Not suitable for video calls. Although I bought a 2GB RAM version, video and voice keeps cutting in and out. Tried different networks. No earphones. Cheap looking charger. Samsung should not compromise on quality. If they cannot afford to release a budget phone, they should not. Instead, continue with their mid and high range phones.",Extremely Negative
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",All good,  Product is good in that budgetAnd performance is excellent,Extremely Positive
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Useless product,  The battery 🔋 is totally worst and touch is very bad charging is also not proper.,Extremely Negative
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Not accepting my return request. Worst reply from Amazon,"  This mobile is giving very poor quality of audio with breaking voice in zoom video call. I applied for return policy, but they did not accepting for return. I was shocked due to this kind of behaviour from Amazon. I will put a case through online , if they will not take return.",Extremely Negative
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",AMAZON India avoids picking up dead products.  Deliberate??,  First time in life I dared to purchase a phone from Amazon. First time a Samsung phone I bought stopped working went dead within a few hours.  Later Amazon agents kept on visiting but deny to pick up the product saying it is dead.. 4 times. I kept on calling customer care in 6 or 7 calls the phone is not picked up by return agent in 15 days. Money is with Amazon. Which means Amazon is using the money. Not sure how many escalations i have to make replace the productThe product might be good but buying it from Amazon iz a pain.If you are unlucky and phone is dead you will keep begging for return. Your money will be stuck with Amazon.WORST way Amazon India treats the Customer. Better use Amazon not cheap products,Extremely Negative
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","since day one sim slot is not working, pl arrange to replace the same","  since day one sim slot is not properly working, some times it is showing ""insert sim"" error. Then again i have to restart the phone or reinsert the sim to connect the phone. I changed the sim card, then also same problem is continuing and it is clear that there is problem in sim slot. hence pl arrange to replace the phone at the earliest.",Extremely Negative
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Value for money,  It has all the basic features and the interface is quite smooth. It has support to wi-fi calling also. Overall the phone is good value for the money spent on it.,Extremely Positive
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","After  9 days  phone not  charging and phone completely  off,  charging icon  also not  showing.","  Your browser does not support HTML5 video.


   I recieved this  item on 9this August, it was working fine. But just after 9 days, this  phone not  charging.  I  try  with  two  other charger. The  phone also  get  discharged. It is not  going  on. Also  if it is put for  charging,  the  charging icon  not on and  this phone  not  charging.",Neutral
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Perspective matters!,"  I do not understand why other reviews mention disappointment with performance. This is a BASIC BUDGET SMARTPHONE! Don't expect SD865 perf.Whom this phone caters to:1) Parents/Grandparents who have basic needs such as Whatsapp and YouTube2) People migrating from feature (button) phones3) Pre-teens' first phoneThe phone is preloaded with Google Go Apps, which are lighter versions of the regular apps.There is no bloatware, and the UI is optimised for the processor.Battery life is decent. Don't expect much. Charging is not fast at all. It takes around 2.5hr for 0-100. But again, this is not a complaint!Screen is 720p. Has a special 'Outdoor Brightness' mode for extra brightness.Speakers are decent. You can hear the ringtone!No face unlock/fingerprint scanner.I bought this phone for my grandmother who is migrating from a Samsung Guru button phone. It is perfect for her usage.Only complaint: This phone is missing a clock widget on the Home Screen!",Extremely Positive
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Not worth to buy,  Too much lagging as like there is only 250 MB RAM.Disappointed with the slowness of the device (I have already updated the software to latest version).,Extremely Negative
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Worst experience to return the mobile,"  The mobile contains  poor battery quality. 80% of charge has been drained in 3 hours with average use. Do not buy it to waste your money.Amazon will mention to return or replace product within 7 days, at the time of purchase .But in actual they will delay unnecessarily and will pass the time frame , by different protocols, as nobody can return it . Even if it is  a faulty set and there is a chance to return it.",Extremely Negative
